,from_cbsa,to_cbsa,counselors_transferred
0,10420.0,14540.0,22.844656
1,10420.0,15940.0,87.789592
2,10580.0,24020.0,26.548849
3,10580.0,26140.0,10.715155
4,10580.0,26300.0,169.46562
5,10580.0,26380.0,255.11406
6,10580.0,26580.0,286.804
7,10580.0,27100.0,97.631356
8,10580.0,27500.0,1.7783317
9,10580.0,31340.0,485.17939
10,11020.0,45300.0,238.65297
11,11180.0,26420.0,116.94734
12,11260.0,26420.0,173.09002
13,11460.0,26420.0,666.50362
14,11700.0,10500.0,66.424216
15,12100.0,26420.0,100.48408
16,12420.0,23580.0,199.08386
17,12580.0,10900.0,134.03602
18,12580.0,11540.0,77.804021
19,12580.0,19300.0,126.97231
20,12580.0,21340.0,379.97554
21,12580.0,41700.0,2631.1644
22,13460.0,34820.0,236.7733
23,13740.0,37860.0,285.43497
24,13780.0,33860.0,233.13188
25,13780.0,34100.0,91.231733
26,13900.0,29740.0,142.72459
27,13980.0,28700.0,137.04344
28,14260.0,35840.0,811.08485
29,14500.0,27500.0,73.079104
30,14500.0,27860.0,28.692207
31,14500.0,28100.0,7.6161727
32,14500.0,28140.0,289.60861
33,14500.0,28700.0,53.205866
34,14500.0,33660.0,344.95484
35,15180.0,22900.0,10.644753
36,15380.0,25620.0,62.021772
37,15380.0,25860.0,12.263281
38,15380.0,25940.0,394.26694
39,15380.0,26140.0,401.85397
40,15380.0,32580.0,720.7921
41,16020.0,33660.0,72.648018
42,16060.0,25620.0,28.7805
43,16300.0,36740.0,185.94391
44,16580.0,25220.0,159.51304
45,16580.0,25620.0,111.0425
46,16980.0,21300.0,16.233827
47,16980.0,22140.0,104.53965
48,16980.0,24540.0,80.05014
49,16980.0,24860.0,328.59834
50,16980.0,25180.0,96.24315
51,16980.0,25220.0,120.89075
52,16980.0,27340.0,475.62653
53,16980.0,29420.0,604.43772
54,16980.0,29460.0,1289.3163
55,16980.0,30780.0,670.72994
56,16980.0,31140.0,897.58359
57,17020.0,22140.0,106.03632
58,17460.0,21420.0,84.469339
59,17460.0,22380.0,47.688416
60,17460.0,22540.0,61.602407
61,17460.0,23460.0,61.973217
62,17460.0,23900.0,70.441356
63,17460.0,24140.0,78.650924
64,17460.0,24420.0,42.145616
65,17460.0,24540.0,172.73318
66,17460.0,27260.0,340.37328
67,17780.0,22900.0,20.890906
68,17820.0,27260.0,617.52343
