,mean_income,counselor_supply,cbsa,population,mental_health_demand
0,49235,590,10180,346370,55479.655
2,52688.57143,2680,10420,1402898,228244.974
3,49563.33333,270,10500,296354,50270.225
4,64560,290,10540,262108,41150.956
5,59085,4010,10580,1757100,237785.436
6,57561.42857,2640,10740,1847260,250104.898
7,47522.5,470,10780,301642,52831.858
8,53316,2560,10900,1692798,250364.249
9,51187.14286,680,11020,242014,39206.268
10,58947.5,590,11100,531522,83361.286
11,59850,410,11180,196474,26032.805
12,58110,1240,11260,794616,94777.024
13,60411.66667,1900,11460,732946,109575.427
14,52410,130,11500,226938,37898.646
15,53263.33333,630,11540,477950,62876.494
17,52952.5,1500,11700,933268,127349.12
18,43620,750,12020,429518,69028.867
19,58278.57143,14120,12060,12175524,1758364.178
20,68600,950,12100,525890,75465.215
21,46053.33333,510,12220,333662,53385.92
22,53012.85714,1350,12260,1228624,193120.44
23,54560,7320,12420,4590606,632573.746
24,61053.75,3080,12540,1802724,297449.46
25,56853.75,12090,12580,5600378,776406.382
26,51661.42857,2700,12940,1673900,273361.096
27,54928,450,12980,267160,45283.62
28,54167.5,370,13020,204774,33992.484
29,50838,820,13140,809448,130407.144
30,49977.5,290,13220,229964,42523.686
31,58494,710,13380,462032,71152.928
32,60086.66667,900,13460,403538,58916.548
33,48551.66667,810,13740,349476,46598.789
34,52858,1130,13780,474648,71567.256
35,52327.14286,2880,13820,2310128,356026.98
36,60126,510,13900,267628,32626.249
37,52750,740,13980,366042,53562.559
38,47085,470,14010,373248,47384.92
39,49385,330,14020,338104,54284.137
40,50670,100,14100,165768,26190.798
41,55191.66667,3130,14260,1540706,205996.646
42,57246.66667,1740,14500,654342,83755.776
43,50642.5,540,14540,361502,64940.652
44,61718,680,14740,545574,77744.295
45,43791.42857,1510,15180,848360,133192.52
46,55086.66667,180,15260,238314,38153.095
47,56040,5180,15380,2251274,318804.749
48,49320,190,15500,342692,50889.762
49,53585,290,15680,229374,31882.986
50,50698.33333,1270,15940,793338,131324.336
51,51102.85714,1420,15980,1581534,223787.061
52,45957.5,420,16020,194240,30856.387
53,55298,400,16060,246180,32976.615
54,67650,120,16180,112068,17762.778
55,64253.33333,230,16220,161630,21415.975
56,49712.85714,1010,16300,547770,73203.537
57,50238,380,16540,311274,49336.929
58,53804,950,16580,476992,60357.224
59,48330,640,16620,411298,77529.109
60,53208.33333,2550,16700,1639410,232485.873
61,54781.66667,5620,16740,5320358,726574.74
62,53647.5,670,16820,474156,62069.279
63,45951.25,1890,16860,1139862,186157.823
64,64260,240,16940,201190,24444.585
65,56967.5,29830,16980,18813276,2233777.37
66,59583.33333,870,17020,425488,67865.336
67,55182.5,7550,17140,4420292,713281.018
68,51500,940,17300,601010,104848.523
69,46220,150,17420,251812,43630.816
70,54750,8280,17460,4087614,650252.096
71,52618,510,17660,341256,45898.932
72,44595,990,17780,536448,86089.059
73,55360,3030,17820,1507678,214308.006
74,50750,1030,17860,365982,55995.246
75,52150,3720,17900,1694794,255365.352
76,47852.5,630,17980,619652,103301.797
77,46072.5,360,18020,168894,24827.418
78,55850,7770,18140,4277892,663244.782
79,52553.33333,910,18580,908062,145036.328
80,55633.33333,370,18700,186478,27598.744
81,53026,470,18880,578936,89598.908
82,54342.5,330,19060,193558,31564.374
83,58115,16950,19100,15533608,2250504.424
84,57765,150,19140,287738,48277.41
85,48990,110,19180,149710,20734.835
86,46026.66667,390,19300,458574,70620.396
87,52598.33333,970,19340,755518,97342.713
88,53788.57143,2950,19380,1618496,267538.37
89,52673.33333,230,19460,305480,51846.352
90,44955,170,19500,206030,27505.005
91,46800,1440,19660,1359896,211402.312
92,60421.25,13280,19740,5982462,786794.23
93,58088.75,2320,19780,1341534,178354.038
94,53172.85714,11970,19820,8608272,1397563.314
95,48136.66667,310,20020,300428,51107.857
96,51872,680,20100,367286,53440.113
97,49763.33333,270,20220,195180,25666.17
98,55042.85714,1490,20260,556018,79593.803
99,56945,1890,20500,1184112,156662.904
100,51685,370,20700,340308,51726.816
101,49981.66667,640,20740,339994,46854.435
102,55866,720,20940,360534,55702.503
103,61636.66667,250,21060,308712,53957.233
104,47655,460,21140,412322,65559.198
105,56502.5,260,21300,165244,24538.734
106,53118.57143,1820,21340,1692384,256572.792
107,52380,130,21420,121738,19051.997
108,52282.85714,1070,21500,536852,85091.042
109,58761.66667,1630,21660,765972,125236.422
110,49414.28571,910,21780,631462,102791.92
111,65870,220,21820,191302,24486.656
112,56380,890,22020,497188,62130.946
113,55193.33333,260,22140,246624,41802.768
114,45980,760,22180,784388,122141.208
115,52878.33333,940,22220,1143068,176701.86
116,53410,480,22380,284962,46876.249
117,52698,990,22420,809588,143701.87
118,46222.5,790,22500,408194,64192.056
119,48333.33333,240,22520,297558,48945.242
120,52520,250,22540,205804,27680.638
121,56030,1820,22660,720856,103442.836
122,44255,710,22900,564944,98341.493
123,49435,1530,23060,889414,134614.114
124,64478.75,3520,23420,2001836,307281.826
125,45472.5,230,23460,204742,34703.769
126,49407.14286,1280,23540,580206,94024.314
127,50493.33333,290,23580,413182,63010.255
128,52613.33333,280,23900,205484,31130.826
129,58355,370,24020,248724,35226.702
130,48337.5,340,24140,247934,37190.1
131,54042,370,24220,200762,26601.141
132,62830,140,24260,169124,20206.906
133,53481.42857,650,24300,311206,45280.473
134,51600,2850,24340,2157760,334712.893
135,54073.33333,280,24420,176106,28617.225
136,41647.5,290,24500,162692,22776.88
137,51533.33333,830,24540,667966,96187.104
138,51878.33333,1120,24580,646758,87404.704
139,51560,1640,24660,1552726,220483.8
140,54842,660,24780,365848,54694.276
141,50963.33333,2780,24860,1865410,276146.729
142,52348.33333,640,25060,801206,116807.069
143,54655,890,25180,546542,87611.132
144,46910,280,25220,273530,49782.46
145,77430,220,25260,305384,48097.98
146,57187.5,2120,25420,1163886,174487.356
147,50878,500,25500,271100,40149.266
148,45242,300,25620,302072,44580.475
149,48976.66667,750,25860,740532,109930.805
150,51103.33333,270,25940,454488,59008.956
151,62256.66667,140,25980,166350,27914.174
152,48095,130,26140,306020,48198.15
153,55120,190,26300,199578,31932.48
154,48118,590,26380,414910,75074.184
155,57213.75,15610,26420,14308956,2068613.222
156,51368.33333,1140,26580,695172,126747.561
157,47838,940,26620,963362,145964.951
158,49558,670,26820,310722,41585.075
159,55860,8060,26900,4182038,636567.535
160,54565,780,26980,351464,47579.388
161,62737.5,350,27060,202116,28296.24
162,52660,480,27100,313840,51312.84
163,48500,1940,27140,1144712,162158.709
164,43658,510,27180,259944,44625.1
165,46813.75,4220,27260,3175784,496590.101
166,47790,220,27340,407886,61794.729
167,53484,430,27500,326168,44848.1
168,43563.33333,550,27620,300396,45504.736
169,46035,830,27740,409080,70401.543
170,46774,560,27780,257344,41046.368
171,49160,490,27860,271056,46077.087
172,43214,600,27900,360198,59096.202
173,67642.5,420,27980,335978,41654.051
174,50436,1370,28020,682924,111539.376
175,48760,320,28100,217188,29103.192
176,51524.28571,6720,28140,4346424,622685.942
177,61986,730,28420,607002,91595.922
178,61068,1150,28660,936906,151731.453
179,45916.66667,760,28700,616366,101250.141
180,72280,550,28740,355432,49405.048
181,43437.5,2870,28940,1803378,302977.862
182,46697.5,280,29020,165464,25977.848
183,52195,610,29100,274268,37014.258
184,45518.33333,1470,29180,979518,173019.386
185,53855,940,29200,450168,70510.909
186,46833.33333,800,29340,420626,78713.309
187,56600,200,29420,434412,71460.774
188,46376.66667,1190,29460,1489104,232300.224
189,52128,1500,29540,1092384,167680.944
190,57610,1840,29620,961020,153049.573
191,60356.66667,430,29700,555362,88302.558
192,53882.5,460,29740,442524,64387.242
193,63735,3850,29820,4631926,755003.938
194,46012,510,29940,245060,36881.53
195,54116.66667,240,30020,253550,42041.989
196,66513.33333,170,30140,283326,44340.519
197,55750,210,30300,127150,18754.555
198,55875.71429,2010,30460,1040782,176429.117
199,55727.5,300,30620,203960,33653.4
200,50496.66667,1230,30700,675672,82529.216
201,52385,1990,30780,1493128,236361.147
202,59308,480,30860,288438,43747.209
203,50592.5,610,30980,441438,72859.697
204,63177.5,390,31020,222742,35750.091
205,64894.28571,49480,31080,26219806,3724470.345
206,52364.28571,3750,31140,2602524,434570.214
207,46554.28571,1210,31180,652728,104133.758
208,47190,370,31340,528772,75968.319
209,45970,630,31420,459800,76321.934
210,70840,240,31460,315522,51903.369
211,55224.28571,3070,31540,1340894,168039.648
212,61480,40,31740,195848,28489.136
213,58690,820,31860,205446,29133.789
214,54244,500,31900,241782,40014.921
216,47798.57143,1960,32580,1750400,275688
217,57613.33333,850,32780,443688,66775.044
218,47820,4610,32820,2714058,429782.032
219,59350,710,32900,558504,89360.64
220,51202.5,15550,33100,12346016,1796322.647
221,48107.5,260,33140,219326,33776.204
222,56450,190,33220,166882,25699.828
223,62226.66667,250,33260,367358,54634.087
224,52895,6570,33340,3155352,415049.19
225,60177.5,16430,33460,7344384,939051.865
226,44875,650,33540,243260,32110.32
227,45576,840,33660,825432,136608.996
228,64920,2210,33700,1100162,171625.272
229,51017.5,730,33740,349218,63183.537
230,58220,70,33780,301136,48784.032
231,46176.66667,1020,33860,745166,120476.089
232,53390,350,34060,280398,48936.115
233,48745,130,34100,240834,41713.297
234,64427.5,470,34580,261578,38059.599
235,51593.33333,440,34620,226908,37780.182
236,53695,560,34740,347766,59294.103
237,53814,810,34820,1028976,151837.217
238,72455,1100,34900,271930,36574.585
239,56915,620,34940,785946,104530.818
240,47712.5,7170,34980,3973238,627700.698
241,44785,230,35100,246396,35155.907
242,51412.85714,4110,35380,2544516,424333.124
243,70386.25,75980,35620,39605772,5245302.592
244,52486,310,35660,306050,50039.175
245,52803.33333,1420,35840,1709368,244754.105
246,49593.33333,660,36100,747026,118030.108
247,70600,130,36140,183092,25175.15
248,61526.66667,210,36220,335402,52490.413
249,57028.57143,1860,36260,1382718,207894.162
250,51780,5280,36420,2850750,456512.434
251,64770,1180,36500,588148,90574.792
252,53983.33333,2990,36540,1908540,237541.46
253,48968.75,6280,36740,5278748,786308.998
254,52623.33333,640,36780,343262,48228.311
255,50215,280,36980,239590,42677.171
256,63678.57143,2520,37100,1682774,233064.199
257,50821.42857,1250,37340,1216918,181320.782
258,52588.33333,490,37460,369712,59812.14
259,51546.66667,180,37620,177286,32580.258
260,47388.57143,1120,37860,1023006,166350.303
261,48925.71429,1340,37900,726182,91669.51
262,60572.5,24440,37980,12215812,1781251.713
263,53030,17560,38060,10119818,1448324.829
264,47640,170,38220,172556,28553.327
265,54697.5,8680,38300,4618492,690676.134
266,47262,420,38540,177590,25040.19
268,62837.14286,12230,38900,5020518,714886.385
269,45403.33333,840,38940,998548,149263.948
270,53633.33333,660,39140,480452,69425.314
271,54941.25,3210,39340,1326362,191299.178
272,53253.33333,1090,39380,339646,51286.546
273,63406.66667,240,39460,389422,57245.034
274,53660,380,39540,391604,53649.748
275,56387.14286,3080,39580,2840752,361367.85
276,46840,590,39660,307062,33640.028
277,53786.66667,1430,39740,842034,129252.219
278,58681.42857,830,39820,358054,56214.478
279,64648.57143,1280,39900,962578,148621.54
280,54134.28571,6330,40060,2654774,355631.932
281,65123.75,12270,40140,9356742,1405700.483
282,57668,720,40220,627568,88912.412
283,64262.85714,1230,40340,446124,56242.186
284,58554,4420,40380,2134972,300962.379
285,51841.25,1020,40420,668144,88124.274
286,50188,360,40580,291376,43892.882
287,52300,230,40660,197208,33229.548
288,67536.25,9150,40900,4749498,682394.376
289,56835,800,40980,379736,63985.516
290,55133.33333,620,41060,405992,56354.56
291,59621.66667,700,41100,369826,52145.466
292,44538.33333,390,41140,245112,39788.362
293,48906.25,9670,41180,5610946,793801.161
294,62516.66667,2130,41420,873896,135887.284
295,70054.28571,1180,41500,861812,125824.552
296,52144.28571,1380,41540,846962,116452.829
297,60875,5480,41620,2480058,373126.38
298,58893.33333,270,41660,243148,36936.6
299,56833.75,6100,41700,5181464,775617.245
300,60938.75,13390,41740,6664854,916417.425
